Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
939,True,900,1600,1,45,1,65.16%,90.25,-689,-0.00759,-0.83744,-1.19904,0.515,nan,6.388,99.05,35.35,112500,73269
940,True,900,1600,1,45,1,64.92%,71.0,-468,-0.32928,-0.81184,-1.20196,0.575,0.577,6.151,94.65,18.3,112500,59713
941,True,900,1600,1,45,1,64.84%,91.85,-206,0.79152,-1.38832,-1.19796,0.506,0.577,6.695,115.35,24.65,112500,53294
942,True,900,1600,1,45,1,64.8%,93.15,-432,1.07539,8.49507,-1.19804,1.1,2.103,6.448,106.8,11.95,112500,51545
943,True,900,1600,1,45,1,64.72%,57.2,-442,0.60636,-1.00848,-1.20099,0.691,0.816,6.504,119.5,18.75,112500,46990
944,True,900,1600,1,45,1,64.92%,63.95,-364,-0.20165,-0.21671,-1.20101,0.502,0.517,6.151,105.25,17.0,112500,57828
945,True,900,1600,1,45,1,64.88%,91.75,-292,-0.15467,-1.18866,-1.2003,0.619,0.577,6.24,121.4,19.4,112500,55418
946,True,900,1600,1,45,1,64.92%,85.2,-488,-0.76768,-0.74223,-1.20387,0.775,nan,6.713,104.9,20.6,112500,59963
947,True,900,1600,1,45,1,65.12%,91.05,-180,-0.89808,-0.87136,-1.20241,0.974,0.548,6.642,125.9,21.25,112500,70080
948,True,900,1600,1,45,1,64.88%,78.7,-408,-0.33753,-1.22049,-1.20214,0.732,0.535,6.351,107.25,23.2,112500,55224
949,True,900,1600,1,45,1,64.92%,65.8,-384,0.13942,-0.86456,-1.19797,1.297,nan,6.579,110.3,18.35,112500,58842
950,True,900,1600,1,45,1,64.92%,66.55,-541,0.03816,-0.60661,-1.19894,0.545,0.491,6.962,103.05,8.2,112500,59175
951,True,900,1600,1,45,1,64.84%,66.05,-318,0.23923,-0.49212,-1.19741,0.629,1.128,6.302,106.5,17.35,112500,53524
952,True,900,1600,1,45,1,64.8%,92.1,-545,0.59761,0.88158,-1.20034,0.511,0.548,6.083,97.1,23.6,112500,51936
953,True,900,1600,1,45,1,65.2%,53.55,-441,-0.4909,-1.78314,-1.20117,1.186,nan,6.01,104.95,13.6,112500,75230
954,True,900,1600,1,45,1,64.8%,54.15,-410,-0.66464,-1.17402,-1.19768,5.855,0.486,6.673,105.9,16.3,112500,50806
955,True,900,1600,1,45,1,64.8%,90.2,-143,0.57181,-0.72648,-1.20186,0.579,nan,6.449,109.25,10.0,112500,50277
956,True,900,1600,1,45,1,64.88%,70.35,-301,0.27362,-1.43994,-1.20375,0.543,0.493,6.14,110.4,12.25,112500,57409
957,True,900,1600,1,45,1,65.0%,55.15,-345,0.38899,0.95672,-1.20024,0.642,0.577,6.429,107.75,13.05,112500,64455
958,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
959,True,900,1600,1,45,1,65.08%,91.45,-396,-0.28555,-0.76167,-1.19847,5.144,12.14,5.941,117.05,20.3,112500,68495
960,True,900,1600,1,45,1,64.96%,68.8,-409,0.03423,-1.06923,-1.19833,0.641,0.577,6.312,108.6,10.9,112500,60847
961,True,900,1600,1,45,1,65.16%,78.95,-624,-0.35853,2.20617,-1.19893,0.512,0.531,5.887,122.9,18.6,112500,73321
962,True,900,1600,1,45,1,64.88%,91.1,-508,1.00317,-0.80871,-1.19845,0.936,0.548,7.341,113.15,5.8,112500,55718
963,True,900,1600,1,45,1,64.96%,54.4,-649,-0.19366,-0.38866,-1.20144,0.5,0.577,5.937,122.05,9.45,112500,62157
964,True,900,1600,1,45,1,64.88%,68.65,-326,-0.6474,-1.46621,-1.20477,0.738,0.548,6.881,115.9,17.3,112500,55014
