Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
324,True,900,1600,1,45,1,64.96%,91.7,-320,0.05807,-1.1298,-1.20055,0.518,0.577,5.777,111.1,21.3,112500,62007
325,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
326,True,900,1600,1,45,1,64.76%,90.15,-308,0.11409,-1.30946,-1.19678,1.874,0.5,6.532,92.1,18.4,112500,48591
327,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
328,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
329,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
330,True,900,1600,1,45,1,64.88%,70.65,-321,0.99698,0.68031,-1.19964,0.666,0.513,7.51,104.5,19.3,112500,55506
331,True,900,1600,1,45,1,64.96%,56.35,-306,-0.55408,-1.37962,-1.19839,0.558,0.475,6.513,110.25,11.2,112500,60824
332,True,900,1600,1,45,1,65.12%,66.8,-607,-0.93779,-1.13814,-1.19935,0.8,0.577,6.181,104.8,10.5,112500,71715
333,True,900,1600,1,45,1,65.16%,91.3,-597,-0.55626,-1.18257,-1.19877,0.501,0.548,6.129,107.6,18.35,112500,73905
334,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
335,True,900,1600,1,45,1,64.76%,66.25,-334,0.72453,-1.01608,-1.2015,1.537,3.666,6.174,114.5,22.5,112500,49564
336,True,900,1600,1,45,1,65.08%,88.2,-265,-0.06189,-1.14379,-1.19968,0.755,0.577,6.024,116.6,30.85,112500,68038
337,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
338,True,900,1600,1,45,1,65.12%,58.2,-397,0.16466,0.36827,-1.19858,0.519,nan,6.442,101.1,11.15,112500,71315
339,True,900,1600,1,45,1,65.08%,77.25,-475,-0.09521,-1.10792,-1.1984,0.653,0.548,6.458,121.35,14.15,112500,68649
340,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
341,True,900,1600,1,45,1,64.92%,65.65,-556,-0.37815,-1.04235,-1.19801,0.5,0.483,6.467,107.7,8.05,112500,58416
342,True,900,1600,1,45,1,65.16%,75.1,-602,-0.61847,-0.1881,-1.20083,0.519,0.577,6.273,116.45,9.65,112500,74628
343,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
344,True,900,1600,1,45,1,65.0%,54.7,-424,-0.62572,-1.34865,-1.19928,2.888,nan,6.451,110.65,16.3,112500,64234
345,True,900,1600,1,45,1,65.08%,62.85,-267,1.04153,0.26457,-1.19973,0.629,0.853,6.339,115.65,8.1,112500,69339
346,True,900,1600,1,45,1,64.8%,90.65,-219,0.14129,0.21721,-1.20582,0.751,0.598,7.258,94.1,9.65,112500,50011
347,True,900,1600,1,45,1,64.88%,84.45,-344,0.71593,-1.25403,-1.20099,0.502,0.535,6.783,107.75,21.2,112500,57053
348,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
349,True,900,1600,1,45,1,64.88%,77.35,-312,0.37078,-0.49537,-1.19768,0.5,0.471,6.33,106.45,11.6,112500,56272
350,True,900,1600,1,45,1,65.16%,65.45,-484,0.28757,-1.20013,-1.19864,0.546,0.264,6.234,105.6,10.0,112500,73776
351,True,900,1600,1,45,1,65.12%,91.45,-322,-0.41046,-1.4807,-1.1986,0.557,0.48,6.679,115.15,8.1,112500,70979
352,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
353,True,900,1600,1,45,1,64.84%,64.9,-317,-0.11844,-1.25277,-1.20172,2.24,5.413,6.506,103.4,19.75,112500,54633
354,True,900,1600,1,45,1,65.04%,88.2,-309,-0.07129,-0.60645,-1.19829,0.565,0.548,6.229,100.85,14.7,112500,66079
355,True,900,1600,1,45,1,65.12%,53.8,-365,-0.77653,-1.4119,-1.20124,0.513,0.542,5.524,114.35,12.95,112500,70245
356,True,900,1600,1,45,1,64.96%,88.85,-247,-0.10467,-1.00605,-1.20342,0.493,nan,6.323,120.55,12.1,112500,62444
357,True,900,1600,1,45,1,65.08%,68.5,-323,-1.00209,-1.21077,-1.20128,0.966,0.577,5.589,112.9,7.8,112500,69688
358,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
359,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
360,True,900,1600,1,45,1,64.88%,90.9,-754,0.63562,-0.6967,-1.20295,0.685,0.484,5.931,110.45,12.0,112500,57314
361,True,900,1600,1,45,1,64.92%,90.2,-395,-0.58331,0.73553,-1.20343,0.547,0.548,6.553,108.1,19.55,112500,59908
362,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
363,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
364,True,900,1600,1,45,1,64.84%,62.45,-456,2.79737,-0.26126,-1.20035,0.56,0.538,6.961,121.0,26.4,112500,54446
365,True,900,1600,1,45,1,64.84%,83.15,-152,-0.781,-0.99567,-1.19827,0.64,nan,6.563,116.45,18.3,112500,54062
366,True,900,1600,1,45,1,65.0%,61.2,-546,-0.48041,1.29984,-1.19864,1.389,0.548,6.063,92.45,6.15,112500,64030
367,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
368,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
369,True,900,1600,1,45,1,65.12%,68.75,-374,-1.30786,-0.91895,-1.20078,0.522,0.577,5.731,117.05,6.55,112500,70321
370,True,900,1600,1,45,1,65.08%,62.15,-270,-0.80448,-0.85928,-1.20005,1.293,0.424,5.978,120.35,18.6,112500,69422
371,True,900,1600,1,45,1,65.0%,82.7,-615,0.20218,-0.01572,-1.19893,0.529,0.577,6.288,118.8,20.85,112500,63191
372,True,900,1600,1,45,1,65.04%,58.85,-474,-0.1299,-0.91922,-1.20114,4.793,0.577,6.802,104.6,12.5,112500,65283
373,True,900,1600,1,45,1,64.92%,70.3,-704,-0.52246,-0.28596,-1.20234,0.51,0.577,6.538,104.05,18.75,112500,59766
374,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
375,True,900,1600,1,45,1,64.88%,80.6,-363,0.13944,-1.06157,-1.19838,0.513,nan,6.827,105.85,12.15,112500,56556
376,True,900,1600,1,45,1,65.08%,55.85,-592,0.11777,-0.9679,-1.19871,0.512,0.577,5.932,110.05,11.7,112500,68977
377,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
378,True,900,1600,1,45,1,64.84%,53.2,-353,0.28165,-0.73353,-1.2045,1.313,2.437,6.918,108.65,13.0,112500,54951
379,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
380,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
381,True,900,1600,1,45,1,65.0%,70.25,-520,0.50971,-0.43255,-1.19827,0.51,0.548,6.289,113.1,13.2,112500,63845
382,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
383,True,900,1600,1,45,1,65.04%,71.7,-702,-0.00963,-0.78045,-1.20314,0.548,0.24,6.167,115.85,14.95,112500,67476
384,True,900,1600,1,45,1,65.12%,60.25,-525,-0.47973,-1.1696,-1.19855,0.786,0.534,6.724,117.8,8.05,112500,71280
385,True,900,1600,1,45,1,64.88%,91.45,-329,0.32218,-1.07389,-1.20399,0.637,0.577,6.854,97.2,36.85,112500,57437
386,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
387,True,900,1600,1,45,1,64.92%,67.95,-324,-0.03501,-1.22003,-1.19841,0.624,0.535,6.772,94.4,17.75,112500,58267
388,True,900,1600,1,45,1,64.8%,86.0,-127,-0.09068,-1.00251,-1.19716,0.701,0.535,6.338,127.35,28.0,112500,51005
389,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
390,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
391,True,900,1600,1,45,1,65.08%,57.2,-489,-0.36729,-1.38748,-1.20232,0.512,0.535,6.228,105.4,9.9,112500,67612
392,True,900,1600,1,45,1,64.88%,55.55,-539,-0.19227,-1.56913,-1.19795,0.508,0.577,6.931,107.6,10.65,112500,55860
393,True,900,1600,1,45,1,65.04%,62.0,-499,-0.23633,-1.25939,-1.19827,0.514,0.577,6.588,115.15,16.05,112500,66171
394,True,900,1600,1,45,1,64.84%,77.85,-351,-0.01235,-1.44088,-1.19736,0.511,0.548,6.349,123.0,17.05,112500,53595
395,True,900,1600,1,45,1,65.04%,53.8,-633,-0.59249,-1.59157,-1.19868,0.512,0.577,6.772,121.95,14.4,112500,65807
396,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
397,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
398,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
399,True,900,1600,1,45,1,65.08%,59.8,-336,-0.19562,-1.14916,-1.1984,0.682,0.67,6.283,115.1,8.7,112500,68664
400,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
401,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
402,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
403,True,900,1600,1,45,1,64.96%,58.05,-207,-0.6275,-0.92834,-1.19949,0.575,0.577,6.577,110.5,16.45,112500,61794
404,True,900,1600,1,45,1,64.96%,70.35,-252,-0.73615,-1.06096,-1.19817,0.634,0.577,6.876,117.1,15.45,112500,61369
405,True,900,1600,1,45,1,64.88%,54.35,-449,-0.51666,-0.54978,-1.20035,0.63,0.535,6.728,113.05,12.45,112500,56954
406,True,900,1600,1,45,1,64.84%,78.75,-515,0.0705,2.47774,-1.19738,0.973,2.291,6.548,107.95,29.65,112500,53688
407,True,900,1600,1,45,1,65.08%,65.65,-478,-0.72695,-1.1885,-1.19843,0.519,nan,5.899,124.3,9.25,112500,68752
408,True,900,1600,1,45,1,65.04%,92.05,-165,-0.44076,-0.8397,-1.20206,0.5,0.577,6.259,129.95,20.75,112500,67305
409,True,900,1600,1,45,1,65.0%,71.05,-429,-0.05654,-0.45198,-1.19832,0.491,0.548,6.269,117.35,10.5,112500,63421
410,True,900,1600,1,45,1,65.0%,71.3,-402,-0.7778,-1.05843,-1.19914,0.606,0.354,6.322,117.45,15.0,112500,63138
411,True,900,1600,1,45,1,65.12%,79.7,-396,-0.57178,-0.9984,-1.19999,0.599,nan,6.606,121.8,17.4,112500,71909
412,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
413,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
414,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
415,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
416,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
417,True,900,1600,1,45,1,64.8%,61.15,-314,-0.5829,-0.94068,-1.20325,0.611,0.577,6.465,102.25,8.65,112500,52281
418,True,900,1600,1,45,1,64.56%,95.4,-76,0.09259,0.37774,-1.20069,9.855,1.856,6.874,89.95,10.25,112500,36904
419,True,900,1600,1,45,1,64.88%,69.5,-378,-0.15339,-1.31118,-1.19783,0.534,0.535,6.894,125.45,15.05,112500,56362
420,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
421,True,900,1600,1,45,1,65.12%,67.4,-483,-0.67223,-1.24055,-1.1989,0.507,0.548,6.295,111.1,11.15,112500,71536
422,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
423,True,900,1600,1,45,1,65.08%,81.1,-680,0.86132,-0.79498,-1.19896,1.342,2.933,6.343,111.45,14.15,112500,68237
424,True,900,1600,1,45,1,65.16%,53.25,-442,-0.43652,-0.59217,-1.19892,0.615,0.577,6.153,111.35,12.05,112500,74008
425,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
426,True,900,1600,1,45,1,64.88%,66.85,-449,-0.39786,-1.26728,-1.20317,0.497,0.577,6.498,103.4,18.85,112500,57341
427,True,900,1600,1,45,1,64.88%,65.0,-293,-0.21452,-1.25722,-1.19982,0.539,0.626,6.166,113.95,23.85,112500,55480
428,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
429,True,900,1600,1,45,1,64.96%,54.4,-510,0.60697,-0.99867,-1.19808,0.502,0.577,6.004,106.5,18.05,112500,61310
430,True,900,1600,1,45,1,65.0%,91.0,-472,0.21183,7.74172,-1.19814,0.619,nan,6.094,109.45,15.7,112500,63683
