Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
341,True,900,1600,50,35,5,70.0%,93.75,-178,-0.14666,0.32303,-1.05,2.473,0.0,7.711,114.7,21.45,87500,39445
342,True,900,1600,50,35,5,72.0%,81.65,-659,-0.79253,5.47049,-1.1296,0.812,0.513,6.729,116.55,27.45,87500,52350
343,True,900,1600,50,35,5,72.0%,91.15,-491,-0.48615,0.73876,-1.13672,0.599,0.577,7.1,120.3,13.95,87500,52139
344,True,900,1600,50,35,5,72.0%,60.95,-425,-0.39249,-0.95749,-1.17872,0.614,0.548,5.631,115.2,11.1,87500,51379
345,True,900,1600,50,35,5,70.0%,91.15,-181,-0.10238,1.13215,-1.25232,0.5,0.577,6.586,103.75,21.75,87500,46286
346,False,900,1600,50,35,5,64.0%,0.0,-1,,,,,,,,,87500,0
347,True,900,1600,50,35,5,70.0%,53.6,-241,-0.77888,-0.84529,-1.435,0.52,0.577,7.416,116.9,16.55,87500,37633
348,True,900,1600,50,35,5,70.0%,91.0,-138,-0.84762,-0.98998,-1.03011,0.689,0.594,6.141,115.7,12.2,87500,39910
349,True,900,1600,50,35,5,70.0%,58.75,-259,-0.29673,-1.11389,-1.17925,0.985,0.577,6.346,106.0,13.7,87500,44530
350,True,900,1600,50,35,5,68.0%,91.0,-255,-0.10164,-0.28606,-1.47024,2.954,0.515,7.371,109.65,14.05,87500,36311
351,True,900,1600,50,35,5,72.0%,65.1,-197,-0.84781,-0.39528,-1.13232,0.54,0.535,6.597,127.4,19.55,87500,55139
